appid,developers,publishers
1097150,Mediatonic,
381210,Behaviour Interactive Inc.,Behaviour Interactive Inc.
301520,Freejam,Freejam
413150,ConcernedApe,ConcernedApe
261550,TaleWorlds Entertainment,TaleWorlds Entertainment
204360,The Behemoth,The Behemoth
107410,Bohemia Interactive,Bohemia Interactive
582010,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
272060,Senscape,Senscape
1240440,343 Industries,Xbox Game Studios
1938090,"Treyarch, Raven Software, Beenox, High Moon Studios, Activision Shanghai, Sledgehammer Games, Infinity Ward, Demonware, Toys for Bob",Activision
394360,Paradox Development Studio,Paradox Interactive
227300,SCS Software,SCS Software
2358720,Game Science,Game Science
49520,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
377160,Bethesda Game Studios,Bethesda Softworks
431960,Wallpaper Engine Team,Wallpaper Engine Team
359550,Ubisoft Montreal,Ubisoft
291550,Blue Mammoth Games,Ubisoft
945360,Innersloth,Innersloth
570,Valve,Valve
1172470,Respawn,Electronic Arts
1222670,Maxis,Electronic Arts
438100,VRChat Inc.,VRChat Inc.
1174180,Rockstar Games,Rockstar Games
60,Valve,Valve
578080,PUBG Corporation,"KRAFTON, Inc."
755790,Aurora Studio,TCH Scarlet Limited
8930,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
291480,MY.GAMES,MY.GAMES
632360,Hopoo Games,Gearbox Publishing
218620,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB
550,Valve,Valve
739630,Kinetic Games,Kinetic Games
1063730,Amazon Games,Amazon Games
271590,Rockstar North,Rockstar Games
96000,Colibri Games,Colibri Games
620,Valve,Valve
444200,Wargaming Group Limited,Wargaming Group Limited
72850,Bethesda Game Studios,Bethesda Softworks
1203220,24 Entertainment,NetEase Games Global
218230,Rogue Planet Games,Daybreak Game Company
322330,Klei Entertainment,Klei Entertainment
105600,Re-Logic,Re-Logic
255710,Colossal Order Ltd.,Paradox Interactive
238960,Grinding Gear Games,Grinding Gear Games
4000,Facepunch Studios,Valve
289070,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
1238810,DICE,Electronic Arts
444090,Evil Mojo Games,Hi-Rez Studios
367520,Team Cherry,Team Cherry
108600,The Indie Stone,The Indie Stone
386360,Titan Forge Games,Hi-Rez Studios
251570,The Fun Pimps,The Fun Pimps Entertainment LLC
346110,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA"
240,Valve,Valve
892970,Iron Gate AB,Coffee Stain Publishing
990080,Avalanche Software,Warner Bros. Games
10,Valve,Valve
433850,Daybreak Game Company,Daybreak Game Company
553850,Arrowhead Game Studios,PlayStation Publishing LLC
1623730,Pocketpair,Pocketpair
552990,Wargaming Group Limited,Wargaming Group Limited
899770,Eleventh Hour Games,Eleventh Hour Games
239140,Techland,Techland
320,Valve,Valve
730,Valve,Valve
648800,Redbeet Interactive,Axolot Games
292030,CD PROJEKT RED,CD PROJEKT RED
70,Valve,Valve
1966720,Zeekerss,Zeekerss
440,Valve,Valve
242760,Endnight Games Ltd,Endnight Games Ltd
1086940,Larian Studios,Larian Studios
594650,Crytek,Crytek
250900,"Nicalis, Inc., Edmund McMillen","Nicalis, Inc."
1517290,DICE,Electronic Arts
400,Valve,Valve
1811260,EA Canada & EA Romania,Electronic Arts
1085660,Bungie,Bungie
304930,Smartly Dressed Games,Smartly Dressed Games
526870,Coffee Stain Studios,Coffee Stain Publishing
1089350,Visual Concepts,2K
252490,Facepunch Studios,Facepunch Studios
236390,Gaijin Entertainment,Gaijin Network Ltd
252950,Psyonix LLC,Psyonix LLC
230410,Digital Extremes,Digital Extremes
417910,Crazy Rocks Studios,Crazy Rocks Studios
532210,"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)"
1468810,?????,"?????, Lightning Games"
1599340,Smilegate RPG,Amazon Games
477160,No Brakes Games,Curve Games
1091500,CD PROJEKT RED,CD PROJEKT RED
340,Valve,Valve
550650,"VALOFE, NS STUDIO",VALOFE
901583,"Rockstar North, Rockstar Toronto",Rockstar Games
221100,Bohemia Interactive,Bohemia Interactive
814380,"FromSoftware, Inc.","Activision (Excluding Japan and Asia), FromSoftware, Inc. (Japan), ???? (Asia)"
304050,gamigo US Inc.,gamigo US Inc.
1245620,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment"
