appid,genres
1097150,Action
1097150,Casual
1097150,Indie
1097150,Massively Multiplayer
1097150,Sports
381210,Action
301520,Action
301520,Indie
301520,Massively Multiplayer
301520,RPG
301520,Simulation
301520,Free To Play
413150,Indie
413150,RPG
413150,Simulation
261550,Action
261550,Indie
261550,RPG
261550,Simulation
261550,Strategy
204360,Action
204360,Adventure
204360,Casual
204360,Indie
204360,RPG
107410,Action
107410,Simulation
107410,Strategy
582010,Action
272060,Adventure
272060,Indie
1240440,Action
1240440,Free To Play
1938090,Action
394360,Simulation
394360,Strategy
227300,Indie
227300,Simulation
2358720,Action
2358720,Adventure
2358720,RPG
49520,Action
49520,RPG
377160,RPG
431960,Casual
431960,Indie
431960,Animation & Modeling
431960,Design & Illustration
431960,Photo Editing
431960,Utilities
359550,Action
291550,Action
291550,Indie
291550,Free To Play
945360,Casual
570,Action
570,Strategy
570,Free To Play
1172470,Action
1172470,Adventure
1172470,Free To Play
1222670,Adventure
1222670,Casual
1222670,Simulation
1222670,Free To Play
438100,Adventure
438100,Casual
438100,Massively Multiplayer
438100,Simulation
438100,Sports
438100,Free To Play
438100,Early Access
1174180,Action
1174180,Adventure
60,Action
578080,Action
578080,Adventure
578080,Massively Multiplayer
578080,Free To Play
755790,Action
755790,Free To Play
755790,Massively Multiplayer
8930,Strategy
291480,Action
291480,Massively Multiplayer
291480,Free To Play
632360,Action
632360,Indie
218620,Action
218620,RPG
550,Action
739630,Action
739630,Indie
739630,Early Access
1063730,Action
1063730,Adventure
1063730,Massively Multiplayer
1063730,RPG
271590,Action
271590,Adventure
