appid,Month-Year,Avg players (month),Max players (month),Price,Positive Reviews,Negative reviews,Avg Positive reviews,Avg Negative reviews
10,01-11-2012,0,0,2.49,0,0,0,0
10,01-12-2012,0,0,4.99,0,0,0,0
10,01-01-2013,0,0,2.49,0,0,0,0
10,01-02-2013,0,0,3.74,0,0,0,0
10,01-04-2013,0,0,2.5,0,0,0,0
10,01-07-2013,0,0,9.99,0,0,0,0
10,01-11-2013,0,0,2.49,0,0,0,0
10,01-12-2013,0,0,4.99,0,0,0,0
10,01-01-2014,0,0,9.99,0,0,0,0
10,01-06-2014,0,0,9.99,0,0,0,0
10,01-11-2014,0,0,4.99,0,0,0,0
10,01-12-2014,0,0,3.74,0,0,0,0
10,01-01-2015,0,0,9.99,0,0,0,0
10,01-03-2015,0,0,9.99,0,0,0,0
10,01-05-2015,0,0,9.99,1139,47,54.24,2.24
10,01-06-2015,0,0,9.99,1434,58,59.75,2.42
10,01-07-2015,8.88,32,9.99,1203,62,44.56,2.3
10,01-08-2015,224.13,4417,9.99,1022,46,46.45,2.09
10,01-09-2015,47.07,693,9.99,904,49,39.3,2.13
10,01-10-2015,8.68,136,9.99,883,35,46.47,1.84
10,01-11-2015,7.27,43,4.99,1168,54,53.09,2.45
10,01-12-2015,5.29,20,4.99,2067,75,86.12,3.12
10,01-01-2016,25.74,90,9.99,1691,62,73.52,2.7
10,01-02-2016,21.03,178,9.99,1561,78,65.04,3.25
10,01-03-2016,87,1080,9.99,1310,52,65.5,2.6
10,01-04-2016,12.63,64,9.99,937,49,44.62,2.33
10,01-05-2016,38.32,311,9.99,774,36,45.53,2.12
10,01-06-2016,36.33,433,9.99,1100,57,50,2.59
10,01-07-2016,63.29,756,9.99,953,59,45.38,2.81
10,01-08-2016,193.68,2536,9.99,690,30,46,2
10,01-09-2016,138.93,3173,9.99,894,32,47.05,1.68
10,01-10-2016,22.16,221,9.99,601,35,37.56,2.19
10,01-11-2016,47.47,420,2.49,7776,84,353.45,3.82
10,01-12-2016,50.26,167,2.49,2106,89,87.75,3.71
10,01-01-2017,76.13,519,9.99,1408,46,67.05,2.19
10,01-02-2017,70.54,544,9.99,1229,49,68.28,2.72
10,01-03-2017,275.48,5760,9.99,960,41,53.33,2.28
10,01-04-2017,78.1,817,9.99,801,35,47.12,2.06
10,01-05-2017,77.26,175,9.99,887,49,40.32,2.23
10,01-06-2017,777.6,21837,2.49,2429,103,97.16,4.12
10,01-07-2017,105.42,1443,9.99,1003,54,43.61,2.35
10,01-08-2017,138.13,2269,9.99,834,52,69.5,4.33
10,01-09-2017,117.63,528,9.99,715,41,35.75,2.05
10,01-10-2017,189.68,2138,9.99,839,54,33.56,2.16
10,01-11-2017,95.43,294,9.99,6283,140,349.06,7.78
10,01-12-2017,95.9,535,0.99,2924,117,132.91,5.32
10,01-01-2018,630.65,15611,9.99,1529,56,109.21,4
10,01-02-2018,188.75,1349,9.99,1776,69,104.47,4.06
10,01-03-2018,94.77,499,9.99,1637,49,125.92,3.77
10,01-04-2018,173.4,2329,9.99,1085,51,60.28,2.83
10,01-05-2018,124.26,1091,9.99,1268,29,84.53,1.93
10,01-06-2018,607.97,8924,0.99,2351,108,111.95,5.14
10,01-07-2018,387.26,4980,9.99,1438,48,79.89,2.67
10,01-08-2018,389.16,6886,9.99,904,32,69.54,2.46
10,01-09-2018,182.93,1352,9.99,412,17,41.2,1.7
10,01-10-2018,429.13,3827,9.99,381,37,17.32,1.68
10,01-11-2018,254.63,2577,9.99,4298,91,214.9,4.55
10,01-12-2018,339.94,1596,0.99,1461,119,54.11,4.41
10,01-01-2019,862.55,5690,9.99,652,59,34.32,3.11
10,01-02-2019,345.04,1579,9.99,620,44,41.33,2.93
10,01-03-2019,411.58,2872,9.99,422,44,19.18,2
10,01-04-2019,526,4887,9.99,235,31,15.67,2.07
10,01-05-2019,316.35,1735,9.99,569,32,51.73,2.91
10,01-06-2019,841.17,4163,0.99,7411,171,352.9,8.14
10,01-07-2019,488.52,3832,9.99,210,26,15,1.86
10,01-08-2019,495.23,6207,9.99,147,20,12.25,1.67
10,01-09-2019,343.6,1509,9.99,188,21,13.43,1.5
10,01-10-2019,285.94,1127,9.99,1397,40,77.61,2.22
10,01-11-2019,420.6,2955,0.99,4836,88,219.82,4
10,01-12-2019,856.1,10697,0.99,2680,98,107.2,3.92
10,01-01-2020,643.29,3825,9.99,1320,54,66,2.7
10,01-02-2020,447.41,1517,9.99,1141,60,60.05,3.16
10,01-03-2020,1222.9,15029,9.99,2227,80,92.79,3.33
10,01-04-2020,749.4,5701,9.99,1557,54,81.95,2.84
10,01-05-2020,5006.48,127518,9.99,1352,56,67.6,2.8
10,01-06-2020,669.27,1980,1.99,2181,80,94.83,3.48
10,01-07-2020,1323.06,12909,9.99,1092,54,57.47,2.84
10,01-08-2020,1733.29,10012,9.99,945,67,52.5,3.72
10,01-09-2020,1994.73,18769,9.99,809,40,40.45,2
10,01-10-2020,1519.39,26150,9.99,696,34,49.71,2.43
10,01-11-2020,1167.37,4618,1.99,3147,79,157.35,3.95
10,01-12-2020,846.84,4504,1.99,1638,59,91,3.28
10,01-01-2021,1542.71,9466,9.99,1119,45,58.89,2.37
10,01-02-2021,1545.57,5865,9.99,900,26,69.23,2
10,01-03-2021,1039,6423,9.99,916,43,48.21,2.26
10,01-04-2021,1193.53,9131,9.99,714,34,44.62,2.12
10,01-05-2021,6388.74,60904,9.99,924,56,42,2.55
10,01-06-2021,4421.93,26567,1.99,1513,85,65.78,3.7
10,01-07-2021,872.74,4650,9.99,770,49,42.78,2.72
10,01-08-2021,1617.1,7577,9.99,593,46,34.88,2.71
10,01-09-2021,1425.2,9825,9.99,708,41,37.26,2.16
10,01-10-2021,500.77,2292,9.99,490,37,30.62,2.31
10,01-11-2021,861.93,7731,1.99,5720,92,286,4.6
10,01-12-2021,869.81,6758,1.99,1000,46,58.82,2.71
10,01-01-2022,693.97,3992,1.99,1156,54,52.55,2.45
10,01-02-2022,1502.79,14482,9.99,691,43,38.39,2.39
10,01-03-2022,495.39,1204,9.99,559,37,31.06,2.06
10,01-04-2022,493.6,3618,9.99,472,29,27.76,1.71
10,01-05-2022,681.55,9293,9.99,603,45,25.12,1.88
10,01-06-2022,859.33,4519,1.99,826,45,48.59,2.65
10,01-07-2022,762.23,3845,9.99,482,36,30.12,2.25
10,01-08-2022,941.45,8691,9.99,398,29,28.43,2.07
10,01-09-2022,2290,11760,9.99,384,18,27.43,1.29
10,01-10-2022,1137.71,12553,9.99,461,46,25.61,2.56
10,01-11-2022,717.6,3068,9.99,4985,77,293.24,4.53
10,01-12-2022,763.9,6266,0.99,1548,56,81.47,2.95
