appid,name,type,required_age,is_free,short_description,capsule_image,developers,publishers,release_date,platforms,metacritic_score,categories,genres,price,movies,os,simplified_os,os_rank,cpu_unorganised,cpu,cpu_rank,gpu_unorganised,gpu,gpu_rank,ram,ram_gb,storage,storage_gb,number_downloads_old,game_revenue_sales,RAND,number_downloads
1097150,Fall Guys,game,0,FALSE,"Fall guys is a free, cross-platform massively multiplayer party royale game. clumsily compete in absurd obstacle courses with friends or build your very own chaotic course to share with the community.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1097150/capsule_231x87.jpg?t=1698763175,Mediatonic,,"Aug 3, 2020","windows, mac, linux",80,"Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Partial Controller Support, Remote Play on Phone, Remote Play on Tablet","Action, Casual, Indie, Massively Multiplayer, Sports",0.00,,Windows 10 64bit,Windows 10,5,Intel Core i5 or AMD equivalent,i5 2500K Series,48,NVIDIA GTX 660 or AMD Radeon HD 7950,"Nvidia GTX 660 Series, AMD HD 7950 Series",4,8 GB RAM,8,2 GB,2,35000000,0,-3722,34996278
381210,Dead by Daylight,game,17,FALSE,"Dead by daylight is a multiplayer (4vs1) horror game where one player takes on the role of the savage killer, and the other four players play as survivors, trying to escape the killer and avoid being caught and killed.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/381210/capsule_231x87.jpg?t=1730209905,Behaviour Interactive Inc.,Behaviour Interactive Inc.,"Jun 14, 2016","windows, mac, linux",,"Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",Action,19.99,http://video.akamai.steamstatic.com/store_trailers/257050021/movie_max_vp9.webm?t=1724775452,Windows 10 64-bit Operating System,Windows 10,5,Intel Core i3-4170 or AMD FX-8300 or higher,"i3 4170K Series, FX 8300K Series",40,DX11 Compatible GeForce 760 or AMD HD 8800 or higher with 4GB of RAM,"Nvidia GeForce 760 Series, AMD HD 8800 Series",5,8 GB RAM,8,50 GB,50,35000000,638709785.4,-3048535,31951465
301520,Robocraft,game,0,TRUE,"Build insane, fully customisable robot battle vehicles that drive, hover, walk and fly in the free-to-play action game robocraft. add weapons from the future and jump in the driving seat as you take your creation into battle against other players online!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/301520/capsule_231x87.jpg?t=1717683908,Freejam,Freejam,"Aug 24, 2017","windows, mac, linux",,"Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases","Action, Indie, Massively Multiplayer, RPG, Simulation, Free To Play",0.00,http://video.akamai.steamstatic.com/store_trailers/256693672/movie_max.webm?t=1542216653,Vista/7/8/8.1/10,Windows VISTA,2,Intel Dual Core or better with SSE2 support or equivalent AMD family,Dual Core Series,10,"Shader Model 3.0 Compatible GPU, DirectX 9.0c",DirectX 9.0c,5,4 GB RAM,4,2 GB,2,15000000,0,793108,15793108
413150,Stardew Valley,game,0,FALSE,"You've inherited your grandfather's old farm plot in stardew valley. armed with hand-me-down tools and a few coins, you set out to begin your new life. can you learn to live off the land and turn these overgrown fields into a thriving home?",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/413150/capsule_231x87.jpg?t=1711128146,ConcernedApe,ConcernedApe,"Feb 26, 2016","windows, mac, linux",89,"Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing","Indie, RPG, Simulation",5.99,http://video.akamai.steamstatic.com/store_trailers/256660296/movie_max.webm?t=1454099186,Windows Vista or greater,Windows VISTA,2,2 Ghz,Other/Uncategorized,23,"256 mb video memory, shader model 3.0+",Generic Graphics Card / Video Memory,0,2 GB RAM,2,500 MB,0.5,35000000,202991024.8,-1111682,33888318
261550,Mount & Blade II: Bannerlord,game,0,FALSE,"A strategy/action rpg. create a character, engage in diplomacy, craft, trade and conquer new lands in a vast medieval sandbox. raise armies to lead into battle and command and fight alongside your troops in massive real-time battles using a deep but intuitive skill-based combat system.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/261550/capsule_231x87.jpg?t=1728556827,TaleWorlds Entertainment,TaleWorlds Entertainment,"Oct 25, 2022","windows, mac, linux",77,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Remote Play on Tablet, Family Sharing","Action, Indie, RPG, Simulation, Strategy",49.99,http://video.akamai.steamstatic.com/store_trailers/256910718/movie_max_vp9.webm?t=1666681395,Windows 10 (64-bit only),Windows 10,5,Intel Core i5-9600K / AMD Ryzen 5 3600X,"i5 9600K Series, Ryzen 5 3600K Series",76,NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 580,"Nvidia GTX 1060 Series, AMD RX 580 Series",7,8 GB RAM,8,60 GB,60,15000000,751175584.8,26517,15026517
204360,Castle Crashers®,game,0,FALSE,"Hack, slash, and smash your way to victory in this award winning 2d arcade adventure from the behemoth!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/204360/capsule_231x87.jpg?t=1729803017,The Behemoth,The Behemoth,"Sep 26, 2012","windows, mac, linux",,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","Action, Adventure, Casual, Indie, RPG",14.99,http://video.akamai.steamstatic.com/store_trailers/256657279/movie_max.webm?t=1447378482,Microsoft Windows XP / Vista / 7 /,Windows XP,1,Intel Core 2 Duo 2GHz+ or better,Core 2 Series,4,256 MB video card,Generic Graphics Card / Video Memory,0,1 GB RAM,1,255 MB,0.255,7500000,110400270.7,-135072,7364928
107410,Arma 3,game,17,FALSE,"Experience true combat gameplay in a massive military sandbox. deploying a wide variety of single- and multiplayer content, over 20 vehicles and 40 weapons, and limitless opportunities for content creation, this is the pc’s premier military game. authentic, diverse, open - arma 3 sends you to war.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/107410/capsule_231x87.jpg?t=1731956655,Bohemia Interactive,Bohemia Interactive,"Sep 12, 2013","windows, mac, linux",74,"Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Leaderboards, Includes level editor","Action, Simulation, Strategy",29.99,http://video.akamai.steamstatic.com/store_trailers/2029388/movie_max.webm?t=1447358827,Windows 7 SP1 (64bit),Windows 7,3,Intel Dual-Core 2.4 GHz or AMD Dual-Core Athlon 2.5 GHz,Dual Core Series,10,NVIDIA GeForce 9800GT / AMD Radeon HD 5670 /  Intel HD Graphics 4000 with 512 MB VRAM,"Nvidia GeForce 9800 Series, AMD HD 5670 Series",1,4 GB RAM,4,45 GB,45,7500000,231168078.3,208172,7708172
582010,Monster Hunter: World,game,0,FALSE,"Welcome to a new world! in monster hunter: world, the latest installment in the series, you can enjoy the ultimate hunting experience, using everything at your disposal to hunt monsters in a new world teeming with surprises and excitement.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/582010/capsule_231x87.jpg?t=1730268377,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Aug 8, 2018","windows, mac, linux",88,"Single-player, Multi-player, Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Remote Play on Tablet, HDR available, Family Sharing",Action,29.99,http://video.akamai.steamstatic.com/store_trailers/256769024/movie_max.webm?t=1578591085,Windows 10 (64-bit required),Windows 10,5,Intel Core i7 3770 or Core i3 8350 or Core i3 9350F / AMD Ryzen 5 1500X or Ryzen 5 3400G,"i3 8350K Series, Ryzen 5 1500K Series",42,NVIDIA GeForce GTX 1060 (VRAM 3GB) or GTX 1650 / AMD Radeon RX 480 or RX 570,"Nvidia GTX 1060 Series, Nvidia GTX 1650 Series, AMD RX 480 Series, AMD RX 570 Series",7,8 GB RAM,8,52 GB,52,15000000,424732955.1,-837514,14162486
272060,Serena,game,0,TRUE,"How long has it been? a man sits in a distant getaway cabin waiting for his wife serena. where is she? things in the cabin evoke memories, and the husband comes to a disturbing realization... this short point-and-click adventure is the result of a massive collaborative effort between dozens of fans and designers of adventure games.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/272060/capsule_231x87.jpg?t=1730388838,Senscape,Senscape,"Jan 30, 2014","windows, mac, linux",,"Single-player, Family Sharing","Adventure, Indie",0.00,http://video.akamai.steamstatic.com/store_trailers/2030755/movie_max.webm?t=1447360139,Windows XP,Windows XP,1,1.6Ghz,Other/Uncategorized,23,OpenGL 2.0 compatible with 128MB,Other/Uncategorized,0,1 GB RAM,1,500 MB,0.5,15000000,0,1378825,16378825
1240440,Halo Infinite,game,0,TRUE,"From one of gaming's most iconic sagas, halo is bigger than ever. featuring an expansive open-world campaign and a dynamic free to play multiplayer experience. ",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1240440/b2973e3ed20f52e16484544c13d6b4b29d55a764/capsule_231x87.jpg?t=1730830074,343 Industries,Xbox Game Studios,"Nov 15, 2021","windows, mac, linux",,"Multi-player, PvP, Online PvP, LAN PvP, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, Includes level editor, Remote Play on TV","Action, Free To Play",0.00,http://video.akamai.steamstatic.com/store_trailers/257070312/movie_max_vp9.webm?t=1730830064,Windows 10 19H2 x64,Windows 10,5,AMD Ryzen 7 3700X or Intel i7-9700k,"i7 9700K Series, Ryzen 7 3700K Series",96,Radeon RX 5700 XT or Nvidia RTX 2070,"Nvidia RTX 2070 Series, AMD RX 5700 Series",8,16 GB RAM,16,50 GB,50,15000000,0,-856408,14143592
